X_px,Y_px,X_mm,Y_mm
3732.998,3131.015,53.583,44.942
3731.871,3131.030,53.567,44.942
3730.678,3131.048,53.550,44.943
3729.423,3131.069,53.532,44.943
3728.113,3131.093,53.513,44.943
3726.750,3131.121,53.493,44.944
3725.342,3131.152,53.473,44.944
3723.891,3131.186,53.452,44.945
3722.403,3131.224,53.431,44.945
3720.884,3131.265,53.409,44.946
3719.337,3131.308,53.387,44.946
3717.768,3131.355,53.364,44.947
3716.181,3131.406,53.342,44.948
3714.582,3131.459,53.319,44.949
3712.974,3131.516,53.296,44.949
3711.364,3131.576,53.272,44.950
3709.756,3131.639,53.249,44.951
3708.154,3131.705,53.226,44.952
3706.564,3131.774,53.204,44.953
3704.989,3131.846,53.181,44.954
3703.430,3131.922,53.159,44.955
3701.885,3132.000,53.136,44.956
3700.353,3132.081,53.114,44.957
3698.833,3132.165,53.093,44.959
3697.323,3132.252,53.071,44.960
3695.824,3132.342,53.049,44.961
3694.333,3132.434,53.028,44.963
3692.848,3132.528,53.007,44.964
3691.370,3132.625,52.985,44.965
3689.897,3132.724,52.964,44.967
3688.427,3132.826,52.943,44.968
3686.960,3132.930,52.922,44.970
3685.495,3133.036,52.901,44.971
3684.030,3133.144,52.880,44.973
3682.563,3133.254,52.859,44.974
3681.095,3133.366,52.838,44.976
3679.623,3133.479,52.817,44.978
3678.147,3133.595,52.796,44.979
3676.666,3133.712,52.774,44.981
3675.181,3133.831,52.753,44.983
3673.691,3133.951,52.732,44.984
3672.198,3134.073,52.710,44.986
3670.702,3134.196,52.689,44.988
3669.202,3134.321,52.667,44.990
3667.699,3134.447,52.646,44.991
3666.194,3134.575,52.624,44.993
3664.687,3134.703,52.602,44.995
3663.177,3134.833,52.581,44.997
3661.667,3134.964,52.559,44.999
3660.155,3135.096,52.537,45.001
3658.642,3135.229,52.516,45.003
3657.129,3135.363,52.494,45.005
3655.616,3135.498,52.472,45.007
3654.103,3135.634,52.451,45.008
3652.590,3135.771,52.429,45.010
3651.077,3135.908,52.407,45.012
3649.566,3136.046,52.385,45.014
3648.056,3136.185,52.364,45.016
3646.547,3136.325,52.342,45.018
3645.039,3136.466,52.320,45.020
3643.531,3136.607,52.299,45.022
3642.024,3136.749,52.277,45.024
3640.517,3136.892,52.256,45.027
3639.011,3137.036,52.234,45.029
3637.505,3137.181,52.212,45.031
3636.000,3137.327,52.191,45.033
3634.494,3137.473,52.169,45.035
3632.989,3137.621,52.147,45.037
3631.483,3137.770,52.126,45.039
3629.978,3137.920,52.104,45.041
3628.472,3138.071,52.083,45.043
3626.966,3138.223,52.061,45.046
3625.459,3138.376,52.039,45.048
3623.953,3138.531,52.018,45.050
3622.445,3138.687,51.996,45.052
3620.937,3138.844,51.974,45.055
3619.428,3139.002,51.953,45.057
3617.918,3139.161,51.931,45.059
3616.406,3139.322,51.909,45.061
3614.894,3139.485,51.888,45.064
3613.380,3139.649,51.866,45.066
3611.864,3139.815,51.844,45.068
3610.346,3139.982,51.822,45.071
3608.827,3140.151,51.801,45.073
3607.305,3140.322,51.779,45.076
3605.781,3140.495,51.757,45.078
3604.254,3140.669,51.735,45.081
3602.725,3140.846,51.713,45.083
3601.193,3141.024,51.691,45.086
3599.658,3141.205,51.669,45.088
3598.120,3141.388,51.647,45.091
3596.579,3141.573,51.625,45.094
3595.034,3141.760,51.603,45.096
3593.485,3141.950,51.580,45.099
3591.934,3142.142,51.558,45.102
3590.379,3142.336,51.536,45.105
3588.822,3142.532,51.513,45.107
3587.263,3142.731,51.491,45.110
3585.702,3142.932,51.469,45.113
3584.140,3143.135,51.446,45.116
3582.578,3143.339,51.424,45.119
3581.016,3143.546,51.401,45.122
3579.453,3143.754,51.379,45.125
3577.892,3143.965,51.357,45.128
3576.331,3144.177,51.334,45.131
3574.772,3144.390,51.312,45.134
3573.216,3144.606,51.289,45.137
3571.662,3144.823,51.267,45.140
3570.110,3145.042,51.245,45.144
3568.562,3145.262,51.223,45.147
3567.019,3145.483,51.201,45.150
3565.479,3145.707,51.178,45.153
3563.944,3145.931,51.156,45.156
3562.414,3146.157,51.134,45.160
3560.889,3146.384,51.113,45.163
3559.367,3146.613,51.091,45.166
3557.849,3146.843,51.069,45.169
3556.334,3147.074,51.047,45.173
3554.822,3147.307,51.025,45.176
3553.312,3147.542,51.004,45.179
3551.803,3147.779,50.982,45.183
3550.296,3148.018,50.960,45.186
3548.791,3148.258,50.939,45.190
3547.285,3148.500,50.917,45.193
3545.780,3148.744,50.896,45.197
3544.274,3148.990,50.874,45.200
3542.768,3149.238,50.852,45.204
3541.260,3149.488,50.831,45.207
3539.751,3149.740,50.809,45.211
3538.239,3149.995,50.787,45.215
3536.726,3150.251,50.766,45.218
3535.209,3150.510,50.744,45.222
3533.689,3150.772,50.722,45.226
3532.167,3151.035,50.700,45.230
3530.643,3151.301,50.678,45.233
3529.116,3151.569,50.656,45.237
3527.589,3151.838,50.635,45.241
3526.060,3152.110,50.613,45.245
3524.530,3152.384,50.591,45.249
3523.000,3152.659,50.569,45.253
3521.470,3152.937,50.547,45.257
3519.940,3153.216,50.525,45.261
3518.411,3153.496,50.503,45.265
3516.883,3153.779,50.481,45.269
3515.356,3154.063,50.459,45.273
3513.830,3154.348,50.437,45.277
3512.307,3154.635,50.415,45.281
3510.786,3154.923,50.393,45.285
3509.268,3155.213,50.372,45.290
3507.753,3155.504,50.350,45.294
3506.241,3155.796,50.328,45.298
3504.732,3156.089,50.306,45.302
3503.227,3156.383,50.285,45.306
3501.725,3156.679,50.263,45.311
3500.225,3156.977,50.242,45.315
3498.727,3157.276,50.220,45.319
3497.231,3157.576,50.199,45.323
3495.737,3157.878,50.177,45.328
