Distance_(mm),Gray_Value
0.0000,75.1938
0.0144,74.9026
0.0287,75.1371
0.0431,75.2485
0.0574,75.5921
0.0718,76.1943
0.0861,77.0373
0.1005,77.7641
0.1148,77.8576
0.1292,77.7171
0.1435,77.2679
0.1579,77.1565
0.1722,77.0412
0.1866,77.1492
0.2010,77.4341
0.2153,78.0543
0.2297,78.4176
0.2440,78.5189
0.2584,78.1943
0.2727,78.1967
0.2871,78.0484
0.3014,78.3169
0.3158,78.8362
0.3301,79.3639
0.3445,79.3450
0.3588,78.9661
0.3732,78.4879
0.3876,78.5552
0.4019,78.3711
0.4163,78.2679
0.4306,78.3077
0.4450,78.1730
0.4593,78.2616
0.4737,78.4976
0.4880,78.3081
0.5024,78.2035
0.5167,78.3629
0.5311,79.0722
0.5454,79.5170
0.5598,79.7292
0.5742,79.9104
0.5885,80.4234
0.6029,80.9569
0.6172,81.2931
0.6316,81.5969
0.6459,81.7500
0.6603,81.6095
0.6746,81.6977
0.6890,81.4472
0.7033,81.1357
0.7177,81.1589
0.7320,81.6400
0.7464,82.1420
0.7608,82.3348
0.7751,82.0189
0.7895,81.5804
0.8038,81.6008
0.8182,81.7064
0.8325,81.5586
0.8469,82.0523
0.8612,82.2800
0.8756,81.8779
0.8899,81.0567
0.9043,80.5567
0.9186,80.7214
0.9330,81.2452
0.9474,81.2951
0.9617,81.3997
0.9761,81.4336
0.9904,81.4651
1.0048,81.3639
1.0191,81.1589
1.0335,80.8304
1.0478,80.5567
1.0622,79.9375
1.0765,79.6250
1.0909,79.4632
1.1052,79.3629
1.1196,79.3735
1.1340,79.5882
1.1483,79.7771
1.1627,79.7902
1.1770,79.2829
1.1914,78.7829
1.2057,78.3847
1.2201,78.5843
1.2344,79.0635
1.2488,79.4012
1.2631,79.8585
1.2775,79.9486
1.2918,79.9792
1.3062,80.1303
1.3206,80.3430
1.3349,80.5562
1.3493,81.0940
1.3636,81.5809
1.3780,81.7263
1.3923,81.6129
1.4067,81.5121
1.4210,81.7321
1.4354,82.2078
1.4497,82.6749
1.4641,82.6957
1.4784,82.5141
1.4928,82.6410
1.5072,82.8740
1.5215,83.0751
1.5359,83.3997
1.5502,83.6487
1.5646,83.7364
1.5789,83.8493
1.5933,84.3125
1.6076,84.7137
1.6220,85.1158
1.6363,85.1279
1.6507,85.0286
1.6650,85.1638
1.6794,85.3125
1.6938,85.6158
1.7081,85.6773
1.7225,85.8823
1.7368,86.0736
1.7512,85.7703
1.7655,85.8270
1.7799,86.1328
1.7942,86.3232
1.8086,86.6560
1.8229,86.7461
1.8373,86.6880
1.8516,86.8517
1.8660,86.7112
1.8804,87.0606
1.8947,87.7297
1.9091,88.3236
1.9234,88.5179
1.9378,88.5160
1.9521,88.4385
1.9665,88.5693
1.9808,88.6139
1.9952,88.7030
2.0095,88.6468
2.0239,88.7689
2.0382,89.0586
2.0526,89.5053
2.0670,89.6134
2.0813,89.7563
2.0957,89.9394
2.1100,89.8924
2.1244,90.0034
2.1387,90.0984
2.1531,89.9622
2.1674,89.7137
2.1818,89.8653
2.1961,90.1899
2.2105,90.5063
2.2248,90.5252
2.2392,90.4041
2.2536,90.3551
2.2679,90.2108
2.2823,90.4312
2.2966,90.8832
2.3110,91.1860
2.3253,91.4399
2.3397,91.9036
2.3540,92.3222
2.3684,92.6579
2.3827,92.9554
2.3971,93.2263
2.4114,93.4327
2.4258,93.5494
2.4402,93.7689
2.4545,93.8716
2.4689,94.0242
2.4832,94.5310
2.4976,94.9724
2.5119,95.4336
2.5263,95.8285
2.5406,96.0194
2.5550,96.1371
2.5693,96.3203
2.5837,96.4942
2.5981,96.6071
2.6124,96.6003
2.6268,96.7776
2.6411,97.2548
2.6555,97.8096
2.6698,97.8648
2.6842,97.8818
2.6985,98.0698
2.7129,98.0610
2.7272,98.0809
2.7416,98.4409
2.7559,98.6245
2.7703,98.6977
2.7847,98.4186
2.7990,98.4986
2.8134,98.7694
2.8277,99.1395
2.8421,99.2243
2.8564,99.1890
2.8708,99.1357
2.8851,99.0751
2.8995,98.9249
2.9138,99.1991
2.9282,99.3852
2.9425,99.7108
2.9569,99.7888
2.9713,99.8338
2.9856,99.5407
3.0000,99.3270
3.0143,99.4690
3.0287,99.9065
3.0430,100.3857
3.0574,100.9724
3.0717,101.1352
3.0861,101.0930
3.1004,101.3290
3.1148,101.6240
3.1291,101.9850
3.1435,102.2224
3.1579,102.6589
3.1722,102.9913
3.1866,103.5722
3.2009,104.3726
3.2153,104.8735
3.2296,104.9428
3.2440,105.0610
3.2583,105.4210
3.2727,105.8052
3.2870,106.1633
3.3014,106.2064
3.3157,106.3614
3.3301,106.8198
3.3445,107.0528
3.3588,107.2805
3.3732,107.1734
3.3875,107.1642
3.4019,107.5315
3.4162,107.7345
3.4306,107.7466
3.4449,107.6880
3.4593,107.6497
3.4736,107.6938
3.4880,107.6328
3.5023,107.4520
3.5167,107.4317
3.5311,107.4641
3.5454,107.7306
3.5598,107.9055
3.5741,108.1991
3.5885,107.9855
3.6028,108.0048
3.6172,107.9893
3.6315,107.9947
3.6459,108.1250
3.6602,108.2253
3.6746,108.0116
3.6889,107.9230
3.7033,107.8958
3.7177,108.3062
3.7320,108.4956
3.7464,108.7248
3.7607,108.8353
3.7751,108.9099
3.7894,108.6773
3.8038,108.3900
3.8181,107.9380
3.8325,107.4593
3.8468,107.2418
3.8612,107.4380
3.8755,107.7035
3.8899,107.8958
3.9043,108.1609
3.9186,108.3183
3.9330,108.6289
3.9473,108.9947
3.9617,109.3532
3.9760,109.1914
3.9904,108.9680
4.0047,109.1793
4.0191,109.1381
4.0334,109.0610
4.0478,108.3154
4.0621,107.7791
4.0765,107.5964
4.0909,108.1090
4.1052,108.8469
4.1196,109.3716
4.1339,109.5484
4.1483,109.2883
4.1626,109.2258
4.1770,109.2442
4.1913,109.4244
4.2057,109.7069
4.2200,109.7544
4.2344,109.9666
4.2487,109.8135
4.2631,109.4230
4.2775,108.5925
4.2918,108.1865
4.3062,108.2427
4.3205,109.1914
4.3349,110.0606
4.3492,110.4031
4.3636,110.4559
4.3779,110.4409
4.3923,110.4399
4.4066,110.4123
4.4210,109.8183
4.4353,108.9104
4.4497,107.7776
4.4641,106.9399
4.4784,106.5373
4.4928,106.4680
4.5071,105.8585
4.5215,105.4777
4.5358,105.1710
4.5502,105.4399
4.5645,106.1497
4.5789,107.0862
4.5932,107.8566
4.6076,108.4443
4.6219,108.9133
4.6363,109.1822
4.6507,109.3508
4.6650,109.4874
4.6794,109.3905
4.6937,109.0640
4.7081,108.8144
4.7224,108.6410
4.7368,108.1647
4.7511,108.1546
4.7655,108.1589
4.7798,108.5354
4.7942,108.8203
4.8085,108.6206
4.8229,108.1788
4.8373,107.8779
4.8516,107.5877
4.8660,107.5116
4.8803,107.3430
4.8947,107.2098
4.9090,107.1303
4.9234,107.4176
4.9377,108.2083
4.9521,109.0640
4.9664,109.6361
4.9808,110.0557
4.9951,110.3333
5.0095,110.4317
5.0239,110.5547
5.0382,110.6899
5.0526,110.8522
5.0669,111.1948
5.0813,111.5315
5.0956,111.6255
5.1100,111.3803
5.1243,110.9758
5.1387,110.4530
5.1530,109.8958
5.1674,109.3498
5.1817,108.8203
5.1961,108.1749
5.2105,107.9205
5.2248,107.7030
5.2392,108.0780
5.2535,108.4622
5.2679,108.6187
5.2822,108.3779
5.2966,108.3169
5.3109,107.9569
5.3253,107.8251
5.3396,107.6986
5.3540,107.6512
5.3683,107.6599
5.3827,107.7757
5.3971,107.6928
5.4114,107.5320
5.4258,107.0068
5.4401,106.5785
5.4545,106.2815
5.4688,106.1550
5.4832,105.7839
5.4975,105.4167
5.5119,105.1449
5.5262,105.0751
5.5406,105.1076
5.5549,105.0950
5.5693,104.8527
5.5837,104.2098
5.5980,103.6516
5.6124,103.0557
5.6267,102.2321
5.6411,101.7539
5.6554,100.9922
5.6698,100.4918
5.6841,100.0766
5.6985,99.9230
5.7128,99.8813
5.7272,99.5533
5.7415,98.9826
5.7559,98.4637
5.7703,97.9225
5.7846,97.6415
5.7990,97.1972
5.8133,96.7277
5.8277,96.1444
5.8420,95.7137
5.8564,95.4268
5.8707,95.2190
5.8851,94.3396
5.8994,93.5489
5.9138,92.3658
5.9281,91.4201
5.9425,90.7834
5.9569,90.3498
5.9712,89.4656
5.9856,88.9574
5.9999,88.6037
6.0143,88.2626
6.0286,87.5964
6.0430,86.8731
6.0573,85.9564
6.0717,85.2277
6.0860,84.3353
6.1004,83.6172
6.1147,82.7456
6.1291,81.7534
6.1435,80.8740
6.1578,80.5063
6.1722,80.0141
6.1865,79.3314
6.2009,78.1604
6.2152,77.1613
6.2296,76.7442
6.2439,76.4167
6.2583,76.0247
6.2726,75.8120
6.2870,75.6434
6.3013,75.7839
6.3157,75.8726
6.3301,75.8643
6.3444,75.3847
6.3588,74.9482
6.3731,74.4496
6.3875,74.2180
6.4018,73.8140
6.4162,73.5223
6.4305,73.2364
6.4449,73.0170
6.4592,73.0819
6.4736,73.3944
6.4879,73.3193
6.5023,72.9079
6.5167,72.5703
6.5310,72.4937
6.5454,72.3488
6.5597,71.9036
6.5741,71.0271
6.5884,70.3396
6.6028,69.9186
6.6171,69.8818
6.6315,69.4777
6.6458,69.0257
6.6602,68.5925
6.6745,68.4264
6.6889,68.3987
6.7033,68.5141
6.7176,68.4118
6.7320,68.0150
6.7463,67.8232
6.7607,68.0567
6.7750,68.3280
6.7894,68.6037
6.8037,68.0872
6.8181,67.6613
6.8324,67.4016
6.8468,67.3842
6.8611,67.3614
6.8755,67.3624
6.8899,67.3571
6.9042,67.6328
6.9186,67.7762
6.9329,67.7316
6.9473,67.6357
6.9616,67.2335
6.9760,67.1124
6.9903,67.3377
7.0047,67.5131
7.0190,67.5688
7.0334,66.8658
7.0477,66.5276
7.0621,66.4545
7.0765,66.5581
7.0908,66.4792
7.1052,66.2292
7.1195,65.8416
7.1339,65.7796
7.1482,65.4186
7.1626,64.9932
7.1769,64.4884
7.1913,63.9578
7.2056,63.6361
7.2200,64.0078
7.2343,64.3789
7.2487,64.4898
7.2631,64.2941
7.2774,63.9327
7.2918,63.8532
7.3061,63.8382
7.3205,63.7224
7.3348,63.6962
7.3492,63.5911
7.3635,63.4346
7.3779,63.6550
7.3922,63.4729
7.4066,63.1967
7.4209,62.9026
7.4353,62.6521
7.4497,62.5121
7.4640,62.6846
7.4784,62.9855
7.4927,63.2442
7.5071,63.7321
7.5214,64.0417
7.5358,64.1948
7.5501,64.1197
7.5645,64.2907
7.5788,64.3183
7.5932,64.1822
7.6076,63.7844
7.6219,63.7098
7.6363,63.2485
7.6506,62.6822
7.6650,62.5581
7.6793,63.2108
7.6937,63.8387
7.7080,64.0891
7.7224,63.9593
7.7367,63.9123
7.7511,63.9593
7.7654,64.2292
7.7798,64.2776
7.7942,64.3382
7.8085,64.5194
7.8229,64.7578
7.8372,65.1182
7.8516,65.1337
7.8659,65.3537
7.8803,66.0291
7.8946,66.8900
7.9090,67.3290
7.9233,67.5329
7.9377,67.6061
7.9520,67.5252
7.9664,67.8891
7.9808,68.2863
7.9951,68.7282
8.0095,68.9995
8.0238,69.0766
8.0382,69.0223
8.0525,69.0722
8.0669,68.8992
8.0812,68.6667
8.0956,68.5397
8.1099,68.4641
8.1243,68.5969
8.1386,68.6914
8.1530,68.5179
8.1674,68.1347
8.1817,67.7723
8.1961,67.6928
8.2104,67.4816
8.2248,67.4501
8.2391,67.3745
8.2535,67.5165
8.2678,67.5698
8.2822,67.6744
8.2965,67.6589
8.3109,67.3527
8.3252,67.0111
8.3396,66.4365
8.3540,66.1105
8.3683,66.2369
8.3827,66.4855
8.3970,66.5950
8.4114,66.5858
8.4257,67.3944
8.4401,68.5974
8.4544,69.5334
8.4688,69.7641
8.4831,69.8716
8.4975,70.0664
8.5118,70.2301
8.5262,70.1342
8.5406,70.0606
8.5549,70.0775
8.5693,70.1328
8.5836,70.0082
8.5980,69.9026
8.6123,69.7786
8.6267,69.7655
