X_px,Y_px,X_mm,Y_mm
4313.707,3587.979,62.249,51.777
4311.290,3587.992,62.214,51.777
4308.135,3588.012,62.169,51.777
4304.442,3588.039,62.115,51.777
4300.411,3588.074,62.057,51.778
4296.239,3588.115,61.997,51.778
4292.125,3588.164,61.938,51.779
4288.186,3588.220,61.881,51.780
4284.396,3588.283,61.826,51.781
4280.710,3588.352,61.773,51.782
4277.087,3588.427,61.721,51.783
4273.484,3588.508,61.669,51.784
4269.860,3588.594,61.616,51.785
4266.190,3588.687,61.563,51.787
4262.482,3588.784,61.510,51.788
4258.745,3588.887,61.456,51.790
4254.988,3588.995,61.402,51.791
4251.222,3589.108,61.347,51.793
4247.457,3589.226,61.293,51.795
4243.696,3589.349,61.239,51.796
4239.938,3589.477,61.185,51.798
4236.182,3589.612,61.130,51.800
4232.425,3589.752,61.076,51.802
4228.664,3589.898,61.022,51.804
4224.896,3590.052,60.968,51.806
4221.123,3590.212,60.913,51.809
4217.343,3590.379,60.859,51.811
4213.559,3590.554,60.804,51.814
4209.771,3590.737,60.749,51.816
4205.982,3590.928,60.695,51.819
4202.191,3591.127,60.640,51.822
4198.401,3591.336,60.585,51.825
4194.610,3591.554,60.531,51.828
4190.820,3591.781,60.476,51.831
4187.029,3592.019,60.421,51.835
4183.237,3592.267,60.366,51.838
4179.445,3592.525,60.312,51.842
4175.653,3592.795,60.257,51.846
4171.860,3593.076,60.202,51.850
4168.067,3593.369,60.148,51.854
4164.275,3593.674,60.093,51.859
4160.484,3593.991,60.038,51.863
4156.695,3594.322,59.983,51.868
4152.907,3594.666,59.929,51.873
4149.122,3595.024,59.874,51.878
4145.338,3595.397,59.820,51.884
4141.557,3595.784,59.765,51.889
4137.779,3596.186,59.710,51.895
4134.004,3596.604,59.656,51.901
4130.233,3597.038,59.602,51.907
4126.465,3597.488,59.547,51.914
4122.702,3597.954,59.493,51.920
4118.942,3598.437,59.439,51.927
4115.188,3598.937,59.384,51.935
4111.438,3599.455,59.330,51.942
4107.692,3599.990,59.276,51.950
4103.953,3600.543,59.222,51.958
4100.218,3601.113,59.168,51.966
4096.489,3601.698,59.115,51.975
4092.764,3602.300,59.061,51.983
4089.045,3602.916,59.007,51.992
4085.331,3603.547,58.954,52.001
4081.623,3604.192,58.900,52.010
4077.919,3604.851,58.847,52.020
4074.220,3605.522,58.793,52.030
4070.527,3606.206,58.740,52.040
4066.838,3606.901,58.687,52.050
4063.154,3607.607,58.634,52.060
4059.475,3608.323,58.580,52.070
4055.801,3609.050,58.527,52.081
4052.130,3609.785,58.474,52.091
4048.464,3610.528,58.422,52.102
4044.803,3611.279,58.369,52.113
4041.145,3612.036,58.316,52.124
4037.491,3612.800,58.263,52.135
4033.842,3613.569,58.211,52.146
4030.196,3614.342,58.158,52.157
4026.554,3615.118,58.105,52.168
4022.917,3615.897,58.053,52.179
4019.283,3616.677,58.000,52.191
4015.653,3617.459,57.948,52.202
4012.026,3618.241,57.896,52.213
4008.402,3619.024,57.843,52.225
4004.781,3619.805,57.791,52.236
4001.161,3620.585,57.739,52.247
3997.544,3621.364,57.687,52.258
3993.928,3622.141,57.635,52.270
3990.314,3622.918,57.582,52.281
3986.703,3623.695,57.530,52.292
3983.094,3624.472,57.478,52.303
3979.488,3625.251,57.426,52.314
3975.885,3626.032,57.374,52.326
3972.288,3626.818,57.322,52.337
3968.702,3627.613,57.271,52.348
3965.129,3628.420,57.219,52.360
3961.574,3629.242,57.168,52.372
3958.040,3630.083,57.117,52.384
3954.527,3630.944,57.066,52.397
3951.031,3631.831,57.016,52.409
3947.545,3632.747,56.965,52.423
3944.064,3633.695,56.915,52.436
3940.581,3634.679,56.865,52.450
3937.091,3635.703,56.814,52.465
3933.590,3636.767,56.764,52.481
3930.081,3637.870,56.713,52.496
3926.565,3639.010,56.663,52.513
3923.044,3640.187,56.612,52.530
3919.518,3641.397,56.561,52.547
3915.990,3642.640,56.510,52.565
3912.462,3643.914,56.459,52.584
3908.934,3645.216,56.408,52.602
3905.408,3646.546,56.357,52.622
3901.886,3647.900,56.306,52.641
3898.368,3649.279,56.256,52.661
3894.857,3650.679,56.205,52.681
3891.352,3652.096,56.154,52.702
3887.849,3653.523,56.104,52.722
3884.346,3654.952,56.053,52.743
3880.838,3656.375,56.003,52.764
3877.324,3657.785,55.952,52.784
3873.800,3659.174,55.901,52.804
3870.262,3660.541,55.850,52.824
3866.708,3661.887,55.799,52.843
3863.132,3663.216,55.747,52.862
3859.532,3664.531,55.695,52.881
3855.904,3665.834,55.643,52.900
3852.243,3667.130,55.590,52.919
3848.549,3668.420,55.537,52.937
3844.825,3669.706,55.483,52.956
3841.074,3670.991,55.429,52.974
3837.298,3672.277,55.374,52.993
3833.501,3673.565,55.320,53.012
3829.687,3674.858,55.265,53.030
3825.857,3676.158,55.209,53.049
3822.015,3677.467,55.154,53.068
3818.162,3678.785,55.098,53.087
3814.301,3680.115,55.042,53.106
3810.433,3681.456,54.987,53.125
3806.562,3682.812,54.931,53.145
3802.688,3684.184,54.875,53.165
3798.818,3685.571,54.819,53.185
3794.955,3686.971,54.763,53.205
3791.107,3688.385,54.708,53.225
3787.279,3689.808,54.653,53.246
