X_px,Y_px,X_mm,Y_mm
8551.213,3607.023,123.399,52.051
8548.512,3607.061,123.360,52.052
8545.226,3607.122,123.312,52.053
8541.507,3607.206,123.259,52.054
8537.511,3607.316,123.201,52.056
8533.391,3607.451,123.142,52.058
8529.301,3607.615,123.083,52.060
8525.346,3607.805,123.025,52.063
8521.508,3608.023,122.970,52.066
8517.756,3608.267,122.916,52.069
8514.057,3608.534,122.863,52.073
8510.377,3608.825,122.809,52.077
8506.685,3609.137,122.756,52.082
8502.957,3609.471,122.702,52.087
8499.197,3609.826,122.648,52.092
8495.414,3610.203,122.594,52.097
8491.616,3610.603,122.539,52.103
8487.812,3611.027,122.484,52.109
8484.012,3611.474,122.429,52.116
8480.220,3611.946,122.374,52.122
8476.438,3612.439,122.320,52.130
8472.668,3612.952,122.265,52.137
8468.908,3613.481,122.211,52.145
8465.160,3614.023,122.157,52.152
8461.423,3614.576,122.103,52.160
8457.696,3615.137,122.049,52.168
8453.979,3615.713,121.996,52.177
8450.268,3616.307,121.942,52.185
8446.559,3616.926,121.889,52.194
8442.852,3617.575,121.835,52.204
8439.141,3618.261,121.781,52.214
8435.428,3618.989,121.728,52.224
8431.714,3619.760,121.674,52.235
8428.006,3620.577,121.621,52.247
8424.308,3621.441,121.567,52.259
8420.626,3622.353,121.514,52.273
8416.965,3623.316,121.461,52.286
8413.330,3624.331,121.409,52.301
8409.722,3625.395,121.357,52.316
8406.143,3626.507,121.305,52.333
8402.593,3627.664,121.254,52.349
8399.074,3628.862,121.203,52.366
8395.587,3630.100,121.153,52.384
8392.130,3631.374,121.103,52.403
8388.689,3632.677,121.053,52.422
8385.251,3633.997,121.004,52.441
8381.797,3635.326,120.954,52.460
8378.310,3636.655,120.904,52.479
8374.775,3637.973,120.853,52.498
8371.180,3639.272,120.801,52.517
8367.530,3640.550,120.748,52.535
8363.836,3641.804,120.695,52.553
8360.107,3643.031,120.641,52.571
8356.355,3644.229,120.587,52.588
8352.588,3645.397,120.532,52.605
8348.816,3646.533,120.478,52.621
8345.035,3647.642,120.423,52.637
8341.238,3648.736,120.369,52.653
8337.417,3649.823,120.314,52.669
8333.562,3650.915,120.258,52.685
8329.668,3652.020,120.202,52.701
8325.724,3653.148,120.145,52.717
8321.734,3654.304,120.087,52.734
8317.719,3655.487,120.029,52.751
8313.692,3656.695,119.971,52.768
8309.677,3657.924,119.913,52.786
8305.688,3659.174,119.856,52.804
8301.746,3660.441,119.799,52.822
8297.867,3661.725,119.743,52.841
8294.044,3663.029,119.688,52.860
8290.261,3664.357,119.633,52.879
8286.500,3665.715,119.579,52.898
8282.745,3667.110,119.525,52.918
8278.979,3668.545,119.470,52.939
8275.184,3670.026,119.415,52.961
8271.354,3671.555,119.360,52.983
8267.496,3673.125,119.305,53.005
8263.624,3674.729,119.249,53.028
8259.746,3676.360,119.193,53.052
8255.874,3678.011,119.137,53.076
8252.018,3679.676,119.081,53.100
8248.187,3681.348,119.026,53.124
8244.385,3683.022,118.971,53.148
8240.607,3684.696,118.917,53.172
8236.853,3686.368,118.862,53.196
8233.117,3688.037,118.808,53.220
8229.396,3689.698,118.755,53.244
8225.689,3691.352,118.701,53.268
8221.991,3692.994,118.648,53.292
8218.305,3694.629,118.595,53.316
8214.627,3696.256,118.542,53.339
8210.961,3697.879,118.489,53.362
8207.305,3699.500,118.436,53.386
8203.660,3701.119,118.383,53.409
8200.026,3702.740,118.331,53.433
8196.403,3704.367,118.279,53.456
8192.790,3706.002,118.227,53.480
8189.186,3707.652,118.174,53.503
8185.589,3709.320,118.123,53.528
8181.999,3711.011,118.071,53.552
8178.416,3712.729,118.019,53.577
8174.837,3714.478,117.967,53.602
8171.264,3716.258,117.916,53.628
8167.695,3718.072,117.864,53.654
8164.130,3719.921,117.813,53.681
8160.569,3721.806,117.762,53.708
8157.012,3723.729,117.710,53.735
8153.457,3725.690,117.659,53.764
8149.904,3727.686,117.608,53.793
8146.355,3729.715,117.556,53.822
8142.810,3731.772,117.505,53.852
8139.267,3733.855,117.454,53.882
8135.728,3735.959,117.403,53.912
8132.193,3738.081,117.352,53.943
8128.661,3740.217,117.301,53.973
8125.133,3742.364,117.250,54.004
8121.609,3744.518,117.199,54.035
8118.088,3746.677,117.149,54.067
8114.570,3748.837,117.098,54.098
8111.056,3750.994,117.047,54.129
8107.545,3753.145,116.996,54.160
8104.037,3755.290,116.946,54.191
8100.534,3757.428,116.895,54.222
8097.035,3759.561,116.845,54.253
8093.542,3761.687,116.794,54.283
8090.055,3763.808,116.744,54.314
8086.573,3765.924,116.694,54.344
8083.099,3768.037,116.644,54.375
8079.629,3770.153,116.594,54.405
8076.161,3772.280,116.543,54.436
8072.694,3774.425,116.493,54.467
8069.227,3776.594,116.443,54.498
8065.755,3778.795,116.393,54.530
8062.280,3781.035,116.343,54.562
8058.803,3783.314,116.293,54.595
8055.333,3785.633,116.243,54.629
8051.877,3787.988,116.193,54.663
8048.442,3790.378,116.143,54.697
8045.035,3792.802,116.094,54.732
8041.664,3795.260,116.046,54.768
8038.332,3797.748,115.998,54.804
8035.035,3800.268,115.950,54.840
8031.766,3802.821,115.903,54.877
8028.517,3805.407,115.856,54.914
8025.281,3808.028,115.809,54.952
8022.050,3810.684,115.763,54.990
8018.817,3813.376,115.716,55.029
8015.579,3816.102,115.669,55.068
8012.336,3818.854,115.622,55.108
8009.089,3821.625,115.576,55.148
8005.838,3824.409,115.529,55.188
8002.586,3827.198,115.482,55.229
7999.333,3829.984,115.435,55.269
7996.080,3832.761,115.388,55.309
7992.829,3835.520,115.341,55.349
7989.580,3838.255,115.294,55.388
7986.334,3840.958,115.247,55.427
7983.094,3843.622,115.200,55.466
7979.859,3846.238,115.154,55.503
7976.632,3848.800,115.107,55.540
7973.413,3851.301,115.061,55.576
