Distance_(mm),Gray_Value
0.0000,75.208
0.0144,75.465
0.0289,75.848
0.0433,76.684
0.0577,76.411
0.0722,76.957
0.0866,77.162
0.1010,76.989
0.1154,76.532
0.1299,76.470
0.1443,76.541
0.1587,76.152
0.1732,75.058
0.1876,74.435
0.2020,74.346
0.2165,74.844
0.2309,74.797
0.2453,74.665
0.2597,74.216
0.2742,73.784
0.2886,73.284
0.3030,73.535
0.3175,72.587
0.3319,71.649
0.3463,71.227
0.3608,71.866
0.3752,72.323
0.3896,73.045
0.4041,73.810
0.4185,74.859
0.4329,75.312
0.4473,75.028
0.4618,75.169
0.4762,75.216
0.4906,75.396
0.5051,75.732
0.5195,76.234
0.5339,76.877
0.5484,77.067
0.5628,77.338
0.5772,77.465
0.5917,78.318
0.6061,79.396
0.6205,80.154
0.6349,79.171
0.6494,78.582
0.6638,78.136
0.6782,77.844
0.6927,77.812
0.7071,78.225
0.7215,78.041
0.7360,78.076
0.7504,77.857
0.7648,78.045
0.7792,77.820
0.7937,76.944
0.8081,75.753
0.8225,75.348
0.8370,75.833
0.8514,76.652
0.8658,76.764
0.8803,75.944
0.8947,75.392
0.9091,75.074
0.9236,75.279
0.9380,75.784
0.9524,75.684
0.9668,75.643
0.9813,75.524
0.9957,76.017
1.0101,76.026
1.0246,76.271
1.0390,76.325
1.0534,76.227
1.0679,76.245
1.0823,75.890
1.0967,75.641
1.1112,75.872
1.1256,75.922
1.1400,75.690
1.1544,75.481
1.1689,75.957
1.1833,76.506
1.1977,76.723
1.2122,76.755
1.2266,76.896
1.2410,77.331
1.2555,76.753
1.2699,75.978
1.2843,76.225
1.2987,75.476
1.3132,73.996
1.3276,72.437
1.3420,72.987
1.3565,74.701
1.3709,76.121
1.3853,75.857
1.3998,74.675
1.4142,73.948
1.4286,74.413
1.4431,74.649
1.4575,74.788
1.4719,74.621
1.4863,74.260
1.5008,73.710
1.5152,73.509
1.5296,73.831
1.5441,74.649
1.5585,74.894
1.5729,75.312
1.5874,74.911
1.6018,74.452
1.6162,74.881
1.6307,75.102
1.6451,74.784
1.6595,74.645
1.6739,74.234
1.6884,73.859
1.7028,73.106
1.7172,72.970
1.7317,72.879
1.7461,73.385
1.7605,73.959
1.7750,75.061
1.7894,75.444
1.8038,76.091
1.8182,76.067
1.8327,75.626
1.8471,75.203
1.8615,74.812
1.8760,74.725
1.8904,75.019
1.9048,75.316
1.9193,75.608
1.9337,76.236
1.9481,76.203
1.9626,76.424
1.9770,76.294
1.9914,76.723
2.0058,76.758
2.0203,77.015
2.0347,76.710
2.0491,76.632
2.0636,76.652
2.0780,76.115
2.0924,75.574
2.1069,75.639
2.1213,76.262
2.1357,76.634
2.1502,76.335
2.1646,75.859
2.1790,75.431
2.1934,75.126
2.2079,75.545
2.2223,75.805
2.2367,76.000
2.2512,76.548
2.2656,76.474
2.2800,76.524
2.2945,76.805
2.3089,76.729
2.3233,76.788
2.3377,75.829
2.3522,74.903
2.3666,74.680
2.3810,75.861
2.3955,76.825
2.4099,77.323
2.4243,77.323
2.4388,77.035
2.4532,76.630
2.4676,76.842
2.4821,75.771
2.4965,75.753
2.5109,75.647
2.5253,76.037
2.5398,76.688
2.5542,77.242
2.5686,77.331
2.5831,77.203
2.5975,76.885
2.6119,76.989
2.6264,76.827
2.6408,76.690
2.6552,76.946
2.6697,77.939
2.6841,79.043
2.6985,80.262
2.7129,81.459
2.7274,81.803
2.7418,81.065
2.7562,79.470
2.7707,78.268
2.7851,78.093
2.7995,78.104
2.8140,79.407
2.8284,80.788
2.8428,82.297
2.8572,83.368
2.8717,83.305
2.8861,82.297
2.9005,81.580
2.9150,80.818
2.9294,80.489
2.9438,80.093
2.9583,80.846
2.9727,81.749
2.9871,81.965
3.0016,81.591
3.0160,81.610
3.0304,81.801
3.0448,81.626
3.0593,80.413
3.0737,79.942
3.0881,79.602
3.1026,79.442
3.1170,78.602
3.1314,79.297
3.1459,79.788
3.1603,79.335
3.1747,78.654
3.1892,78.695
3.2036,78.139
3.2180,78.333
3.2324,79.838
3.2469,81.305
3.2613,80.987
3.2757,81.006
3.2902,81.623
3.3046,82.706
3.3190,83.175
3.3335,83.433
3.3479,83.184
3.3623,83.063
3.3767,83.643
3.3912,84.006
3.4056,84.747
3.4200,85.617
3.4345,86.238
3.4489,86.000
3.4633,85.113
3.4778,85.026
3.4922,85.758
3.5066,86.584
3.5211,87.361
3.5355,87.416
3.5499,87.303
3.5643,87.229
3.5788,87.357
3.5932,87.253
3.6076,86.864
3.6221,86.128
3.6365,85.444
3.6509,83.996
3.6654,83.390
3.6798,83.907
3.6942,84.074
3.7087,84.400
3.7231,85.177
3.7375,86.234
3.7519,87.115
3.7664,87.972
3.7808,87.976
3.7952,87.095
3.8097,86.260
3.8241,86.959
3.8385,88.381
3.8530,89.035
3.8674,89.093
3.8818,88.712
3.8962,88.487
3.9107,87.874
3.9251,87.017
3.9395,87.167
3.9540,87.729
3.9684,88.074
3.9828,87.861
3.9973,87.745
4.0117,87.372
4.0261,87.344
4.0406,87.926
4.0550,88.745
4.0694,89.416
4.0838,89.396
4.0983,88.530
4.1127,87.974
4.1271,87.788
4.1416,88.102
4.1560,88.396
4.1704,88.411
4.1849,88.957
4.1993,89.924
4.2137,90.879
4.2282,91.325
4.2426,91.229
4.2570,90.991
4.2714,91.017
4.2859,91.539
4.3003,91.790
4.3147,91.760
4.3292,91.628
4.3436,92.206
4.3580,92.680
4.3725,92.957
4.3869,93.355
