X_px,Y_px,X_mm,Y_mm
8446.000,3617.000,121.880,52.195
8448.172,3616.629,121.912,52.190
8450.345,3616.264,121.943,52.185
8452.517,3615.904,121.975,52.179
8454.688,3615.550,122.006,52.174
8456.859,3615.202,122.037,52.169
8459.031,3614.860,122.069,52.164
8461.202,3614.523,122.100,52.160
8463.374,3614.193,122.131,52.155
8465.546,3613.869,122.163,52.150
8467.718,3613.552,122.194,52.146
8469.890,3613.240,122.225,52.141
8472.062,3612.935,122.257,52.137
8474.233,3612.637,122.288,52.132
8476.406,3612.345,122.319,52.128
8478.579,3612.060,122.351,52.124
8480.753,3611.782,122.382,52.120
8482.927,3611.510,122.413,52.116
8485.101,3611.246,122.445,52.112
8487.275,3610.989,122.476,52.109
8489.451,3610.738,122.507,52.105
8491.627,3610.495,122.539,52.101
8493.804,3610.260,122.570,52.098
8495.981,3610.031,122.602,52.095
8498.159,3609.810,122.633,52.092
8500.338,3609.597,122.665,52.088
8502.519,3609.391,122.696,52.086
8504.699,3609.194,122.728,52.083
8506.881,3609.003,122.759,52.080
8509.063,3608.821,122.791,52.077
8511.247,3608.647,122.822,52.075
8513.432,3608.481,122.854,52.072
8515.617,3608.323,122.885,52.070
8517.805,3608.174,122.917,52.068
8519.993,3608.032,122.948,52.066
8522.183,3607.899,122.980,52.064
8524.374,3607.775,123.011,52.062
8526.565,3607.659,123.043,52.061
8528.760,3607.552,123.075,52.059
8530.955,3607.454,123.106,52.058
8533.151,3607.365,123.138,52.056
8535.350,3607.284,123.170,52.055
8537.549,3607.213,123.202,52.054
8539.750,3607.151,123.233,52.053
8541.953,3607.097,123.265,52.052
8544.158,3607.054,123.297,52.052
8546.365,3607.019,123.329,52.051
8548.573,3606.994,123.361,52.051
8550.783,3606.979,123.393,52.051
8552.995,3606.973,123.424,52.051
8555.209,3606.976,123.456,52.051
8557.424,3606.988,123.488,52.051
8559.642,3607.008,123.520,52.051
8561.859,3607.037,123.552,52.052
8564.079,3607.074,123.584,52.052
8566.301,3607.119,123.616,52.053
8568.523,3607.172,123.649,52.053
8570.747,3607.233,123.681,52.054
8572.972,3607.301,123.713,52.055
8575.198,3607.376,123.745,52.056
8577.425,3607.458,123.777,52.058
