X,Y
118.214,53.363
118.158,53.378
118.102,53.393
118.046,53.408
117.990,53.424
117.934,53.440
117.878,53.456
117.822,53.473
117.766,53.490
117.711,53.507
117.655,53.524
117.599,53.542
117.544,53.560
117.489,53.578
117.434,53.597
117.379,53.616
117.324,53.635
117.269,53.654
117.215,53.673
117.161,53.693
117.107,53.713
117.053,53.733
117.000,53.753
116.947,53.773
116.894,53.794
116.842,53.815
116.790,53.835
116.738,53.856
116.687,53.878
116.636,53.899
116.585,53.920
116.535,53.942
116.485,53.963
116.436,53.985
116.387,54.006
116.339,54.028
116.291,54.050
116.243,54.072
116.197,54.094
116.150,54.116
116.104,54.138
116.059,54.160
116.014,54.182
115.969,54.204
115.925,54.226
115.881,54.248
115.838,54.270
115.795,54.292
115.752,54.315
115.710,54.337
115.667,54.359
115.625,54.382
115.584,54.404
115.542,54.427
115.501,54.450
115.460,54.472
115.419,54.495
115.379,54.518
115.338,54.541
115.298,54.564
115.257,54.587
115.217,54.610
115.177,54.633
115.136,54.656
115.096,54.679
115.056,54.703
115.016,54.726
114.976,54.750
114.936,54.773
114.895,54.797
114.855,54.820
114.814,54.844
114.774,54.868
114.733,54.892
114.693,54.916
114.652,54.940
114.612,54.964
114.571,54.988
114.531,55.012
114.491,55.036
114.450,55.061
114.410,55.085
114.370,55.109
114.330,55.134
114.291,55.158
114.251,55.182
114.211,55.207
114.172,55.231
114.133,55.256
114.094,55.280
114.055,55.305
114.017,55.329
113.979,55.354
113.941,55.378
113.903,55.403
113.866,55.427
113.829,55.452
113.792,55.476
113.755,55.500
113.719,55.525
113.684,55.549
113.648,55.574
113.613,55.598
113.577,55.622
113.542,55.646
113.507,55.671
113.472,55.695
113.437,55.719
113.401,55.743
113.366,55.767
113.330,55.791
113.293,55.814
113.256,55.838
113.219,55.862
113.182,55.885
113.143,55.908
113.104,55.932
113.065,55.955
113.024,55.978
112.983,56.001
112.941,56.024
112.898,56.046
112.853,56.069
112.808,56.091
112.762,56.113
112.714,56.135
112.666,56.157
112.616,56.179
112.564,56.200
112.511,56.221
112.457,56.242
112.402,56.263
112.345,56.284
112.287,56.305
112.229,56.326
112.170,56.347
112.110,56.367
112.049,56.388
111.988,56.409
111.927,56.430
111.866,56.451
111.804,56.472
111.743,56.494
111.682,56.515
111.621,56.537
111.561,56.559
111.501,56.582
111.442,56.604
111.383,56.627
111.326,56.651
111.269,56.675
111.214,56.699
111.160,56.724
111.108,56.750
111.057,56.775
111.007,56.802
110.960,56.829
110.914,56.857
110.870,56.885
110.829,56.914
110.790,56.944
110.753,56.974
110.718,57.006
110.686,57.038
110.657,57.070
110.631,57.104
110.608,57.139
110.588,57.174
110.571,57.211
110.556,57.248
110.544,57.286
110.535,57.325
110.528,57.365
110.523,57.406
110.521,57.447
110.521,57.489
110.522,57.532
110.525,57.576
110.530,57.620
110.536,57.665
110.544,57.711
110.553,57.757
110.563,57.804
110.574,57.852
110.586,57.900
110.599,57.949
110.612,57.998
110.626,58.048
110.640,58.098
110.654,58.149
110.668,58.200
110.683,58.252
110.697,58.304
110.711,58.357
110.724,58.410
110.737,58.464
110.750,58.517
110.761,58.572
110.772,58.626
110.782,58.681
110.792,58.736
110.801,58.791
110.809,58.846
110.818,58.901
110.825,58.956
110.833,59.011
110.840,59.066
110.848,59.121
110.855,59.175
110.862,59.229
110.869,59.283
110.876,59.336
110.884,59.389
110.891,59.442
110.899,59.493
110.907,59.545
