Distance_(mm),Gray_Value
0.0000,52.6403
0.0145,52.6123
0.0290,52.3085
0.0435,52.2342
0.0580,51.8956
0.0725,51.6646
0.0869,51.4536
0.1014,51.6493
0.1159,51.6756
0.1304,51.5443
0.1449,50.9536
0.1594,50.8950
0.1739,50.9146
0.1884,50.9299
0.2029,50.7141
0.2174,50.6878
0.2319,50.5380
0.2463,50.3233
0.2608,50.1777
0.2753,50.3813
0.2898,50.3544
0.3043,50.4219
0.3188,50.4821
0.3333,50.7463
0.3478,50.7526
0.3623,50.6213
0.3768,50.2511
0.3913,50.1820
0.4057,49.9937
0.4202,49.9193
0.4347,49.6630
0.4492,49.7848
0.4637,49.6735
0.4782,49.6239
0.4927,49.2605
0.5072,48.9768
0.5217,48.7004
0.5362,48.6967
0.5507,48.5496
0.5651,48.5058
0.5796,48.1482
0.5941,47.7885
0.6086,47.3523
0.6231,47.5021
0.6376,47.6614
0.6521,47.6756
0.6666,47.7558
0.6811,47.9578
0.6956,47.9842
0.7101,47.9488
0.7245,47.6915
0.7390,47.6572
0.7535,47.4604
0.7680,47.4425
0.7825,47.5216
0.7970,47.5691
0.8115,47.5116
0.8260,47.5649
0.8405,47.3328
0.8550,47.2442
0.8695,47.2468
0.8839,47.2663
0.8984,47.0675
0.9129,46.9736
0.9274,47.2500
0.9419,47.4568
0.9564,47.7226
0.9709,47.9109
0.9854,47.9314
0.9999,48.0591
1.0144,48.1646
1.0289,48.4367
1.0434,48.2943
1.0578,48.1988
1.0723,47.6756
1.0868,47.7885
1.1013,47.8687
1.1158,47.8734
1.1303,47.6424
1.1448,47.4726
1.1593,47.3001
1.1738,47.3681
1.1883,47.4119
1.2028,47.1028
1.2172,46.8660
1.2317,47.1123
1.2462,47.2247
1.2607,47.2700
1.2752,47.0823
1.2897,46.9198
1.3042,46.8180
1.3187,46.7236
1.3332,46.5316
1.3477,46.4805
1.3622,46.3286
1.3766,46.5870
1.3911,46.7068
1.4056,46.8307
1.4201,46.5301
1.4346,46.6166
1.4491,46.5538
1.4636,46.5084
1.4781,46.2748
1.4926,46.3544
1.5071,46.1909
1.5216,46.0744
1.5360,45.6498
1.5505,45.9752
1.5650,46.4219
1.5795,46.7801
1.5940,46.9378
1.6085,47.2004
1.6230,47.2447
1.6375,47.1846
1.6520,47.1915
1.6665,47.6303
1.6810,47.8945
1.6954,48.3117
1.7099,48.5021
1.7244,48.7089
1.7389,48.6092
1.7534,48.6582
1.7679,48.5580
1.7824,48.5200
1.7969,48.1092
1.8114,47.7843
1.8259,47.3982
1.8404,47.4573
1.8548,47.3075
1.8693,47.1313
1.8838,47.1435
1.8983,47.3175
1.9128,47.6071
1.9273,47.8339
1.9418,47.9494
1.9563,48.3455
1.9708,48.6276
1.9853,48.8734
1.9998,49.1334
2.0142,49.4615
2.0287,49.4916
2.0432,49.4182
2.0577,49.6392
2.0722,49.9330
2.0867,49.8523
2.1012,49.7458
2.1157,49.6762
2.1302,49.9647
2.1447,50.1566
2.1592,50.2885
2.1736,50.1187
2.1881,50.1250
2.2026,50.1255
2.2171,50.1203
2.2316,49.8223
2.2461,49.7827
2.2606,49.8618
2.2751,50.0691
2.2896,50.1857
2.3041,50.6123
2.3186,51.1092
2.3330,51.6018
2.3475,51.9942
2.3620,52.0090
2.3765,51.7505
2.3910,51.5327
2.4055,51.5079
2.4200,51.6588
2.4345,51.9889
2.4490,52.5469
2.4635,52.9357
2.4780,53.5163
2.4924,54.0311
2.5069,54.3439
2.5214,54.5132
2.5359,54.7732
2.5504,54.7168
2.5649,54.6503
2.5794,54.4024
2.5939,54.5438
2.6084,54.5348
2.6229,54.6102
2.6374,54.5617
2.6518,54.8444
2.6663,55.0612
2.6808,55.0058
2.6953,54.8892
2.7098,55.0032
2.7243,54.7917
2.7388,54.8217
2.7533,54.9541
2.7678,55.3091
2.7823,55.2184
2.7968,55.0997
2.8112,55.1097
2.8257,55.2458
2.8402,55.3339
2.8547,55.4657
2.8692,55.2695
2.8837,55.2474
2.8982,55.0818
2.9127,55.2769
2.9272,55.4283
2.9417,55.8049
2.9562,56.2505
2.9706,56.5712
2.9851,56.9330
2.9996,57.4436
3.0141,57.9684
3.0286,58.2141
3.0431,58.5454
3.0576,58.9330
3.0721,59.3238
3.0866,59.3397
