X,Y
55.351,54.587
55.296,54.588
55.241,54.589
55.188,54.589
55.135,54.589
55.083,54.590
55.031,54.590
54.980,54.590
54.929,54.590
54.879,54.589
54.828,54.589
54.778,54.589
54.728,54.589
54.677,54.589
54.626,54.588
54.575,54.588
54.524,54.588
54.472,54.588
54.419,54.587
54.365,54.587
54.311,54.587
54.256,54.587
54.200,54.588
54.143,54.588
54.085,54.588
54.027,54.589
53.969,54.590
53.910,54.591
53.851,54.593
53.791,54.594
53.732,54.596
53.672,54.598
53.612,54.601
53.553,54.604
53.493,54.607
53.434,54.611
53.375,54.615
53.316,54.620
53.258,54.625
53.200,54.631
53.143,54.637
53.086,54.643
53.030,54.651
52.975,54.659
52.921,54.667
52.867,54.676
52.814,54.685
52.762,54.695
52.710,54.705
52.658,54.715
52.608,54.726
52.557,54.736
52.507,54.748
52.458,54.759
52.409,54.770
52.360,54.782
52.311,54.794
52.263,54.805
52.215,54.817
52.168,54.829
52.120,54.840
52.073,54.852
52.026,54.863
51.979,54.875
51.932,54.886
51.886,54.897
51.840,54.908
51.794,54.918
51.749,54.929
51.704,54.939
51.659,54.949
51.615,54.959
51.572,54.969
51.529,54.979
51.487,54.988
51.446,54.998
51.405,55.007
51.365,55.015
51.326,55.024
51.287,55.032
51.249,55.040
51.212,55.049
51.175,55.057
51.138,55.065
51.101,55.074
51.063,55.082
51.026,55.091
50.988,55.101
50.949,55.111
50.910,55.122
50.870,55.133
50.829,55.145
50.786,55.158
50.743,55.172
50.697,55.187
50.651,55.202
50.603,55.219
50.554,55.236
50.503,55.254
50.452,55.273
50.399,55.292
50.345,55.313
50.290,55.333
50.233,55.355
50.176,55.377
50.118,55.400
50.058,55.423
49.998,55.446
49.937,55.470
49.874,55.495
49.811,55.520
49.747,55.545
49.683,55.571
49.617,55.596
49.551,55.622
49.484,55.649
49.417,55.675
49.348,55.702
49.279,55.728
49.210,55.755
49.140,55.782
49.070,55.809
48.999,55.837
48.928,55.864
48.856,55.892
48.784,55.920
48.712,55.948
48.640,55.976
48.567,56.004
48.495,56.032
48.422,56.060
48.349,56.088
48.276,56.117
48.204,56.146
48.131,56.174
48.058,56.203
47.986,56.232
47.913,56.261
47.841,56.290
47.769,56.319
47.698,56.348
47.627,56.377
47.556,56.406
47.486,56.435
47.416,56.464
47.347,56.494
47.278,56.523
47.209,56.552
47.141,56.582
47.074,56.611
47.007,56.641
46.941,56.670
46.875,56.700
46.809,56.730
46.744,56.760
46.679,56.789
46.615,56.820
46.550,56.850
46.487,56.880
46.424,56.910
46.361,56.941
46.298,56.972
46.236,57.002
46.174,57.033
46.112,57.064
46.051,57.096
45.990,57.127
45.929,57.159
45.868,57.190
45.808,57.222
45.748,57.255
45.688,57.287
45.629,57.320
45.569,57.352
45.510,57.385
45.451,57.419
45.392,57.452
45.334,57.486
45.275,57.519
45.217,57.553
45.158,57.588
45.100,57.622
45.042,57.657
44.983,57.691
44.925,57.726
44.867,57.762
44.809,57.797
44.750,57.833
44.692,57.869
44.634,57.905
44.575,57.941
