Distance_(mm),Gray_Value
0.0000,40.5985
0.0144,40.1843
0.0288,39.9394
0.0432,39.7879
0.0577,39.5278
0.0721,39.0379
0.0865,38.9141
0.1009,39.0682
0.1153,38.8813
0.1297,38.7702
0.1441,38.9571
0.1586,39.7045
0.1730,39.7753
0.1874,40.5429
0.2018,41.7399
0.2162,43.2222
0.2306,43.4697
0.2450,43.6818
0.2595,43.7374
0.2739,43.8030
0.2883,43.8510
0.3027,43.6237
0.3171,42.7929
0.3315,42.4848
0.3459,41.7247
0.3604,41.9091
0.3748,42.1187
0.3892,42.1313
0.4036,41.8409
0.4180,41.6111
0.4324,41.1237
0.4468,40.7904
0.4613,40.7096
0.4757,40.5455
0.4901,40.5126
0.5045,39.9470
0.5189,39.0808
0.5333,38.5177
0.5477,38.1439
0.5622,38.1742
0.5766,38.3131
0.5910,39.0480
0.6054,39.8611
0.6198,40.4015
0.6342,40.0934
0.6486,40.8283
0.6631,41.3636
0.6775,42.0328
0.6919,42.8914
0.7063,43.5101
0.7207,43.9672
0.7351,44.3838
0.7495,45.0126
0.7640,45.9596
0.7784,46.2449
0.7928,46.4672
0.8072,47.2576
0.8216,48.2222
0.8360,49.0859
0.8504,49.4874
0.8649,49.4167
0.8793,49.3081
0.8937,49.3056
0.9081,49.3005
0.9225,49.8359
0.9369,50.1894
0.9514,50.5732
0.9658,50.4394
0.9802,50.6616
0.9946,50.9899
1.0090,51.9040
1.0234,52.1692
1.0378,51.5379
1.0523,51.8636
1.0667,52.4722
1.0811,53.0076
1.0955,53.2323
1.1099,53.3258
1.1243,53.5783
1.1387,54.3460
1.1532,54.8763
1.1676,55.1111
1.1820,55.5303
1.1964,55.5505
1.2108,55.3763
1.2252,55.7854
1.2396,56.2702
1.2541,57.1439
1.2685,58.0732
1.2829,58.4394
1.2973,58.9192
1.3117,59.1818
1.3261,59.1414
1.3405,59.3813
1.3550,59.7348
1.3694,60.1086
1.3838,60.6768
1.3982,61.3409
1.4126,61.6566
1.4270,62.1010
1.4414,62.6414
1.4559,63.0051
1.4703,63.4773
1.4847,63.6919
1.4991,63.4217
1.5135,63.3611
1.5279,63.2576
1.5423,63.4596
1.5568,63.8030
1.5712,63.9495
1.5856,64.3232
1.6000,64.5455
1.6144,64.9798
1.6288,64.8561
1.6432,65.0606
1.6577,64.9975
1.6721,64.7727
1.6865,65.0909
1.7009,65.4394
1.7153,65.9141
1.7297,66.2828
1.7441,66.3712
1.7586,66.7399
1.7730,66.9217
1.7874,67.1237
1.8018,67.6288
1.8162,67.7955
1.8306,67.9268
1.8450,68.2071
1.8595,68.5707
1.8739,68.8535
1.8883,69.1692
1.9027,69.6465
1.9171,70.1970
1.9315,70.3914
1.9459,70.2424
1.9604,69.8965
1.9748,70.0202
1.9892,70.1818
2.0036,70.4343
2.0180,70.6869
2.0324,70.4040
2.0468,70.1919
2.0613,69.8485
2.0757,70.0253
2.0901,69.8813
2.1045,69.9975
2.1189,70.3106
2.1333,70.5556
2.1477,70.7576
2.1622,70.7273
2.1766,70.9318
2.1910,71.1465
2.2054,71.3359
2.2198,71.5556
2.2342,71.8409
2.2486,72.2677
2.2631,73.1717
2.2775,73.8434
2.2919,74.1667
2.3063,74.6591
2.3207,75.2096
2.3351,75.5909
2.3495,76.2020
2.3640,77.1111
2.3784,77.6338
2.3928,78.0631
2.4072,78.4899
2.4216,78.9040
2.4360,78.9419
2.4504,79.1035
2.4649,79.4899
2.4793,79.7475
2.4937,80.0404
2.5081,80.2449
2.5225,80.2449
2.5369,80.7045
2.5514,80.8889
2.5658,81.1035
2.5802,81.0480
2.5946,81.4672
2.6090,81.8258
2.6234,82.0808
2.6378,82.4167
2.6523,82.0985
2.6667,82.2197
2.6811,82.4571
2.6955,82.5934
2.7099,83.0076
2.7243,83.2500
2.7387,83.7904
2.7532,84.2121
2.7676,84.0682
2.7820,84.1768
2.7964,84.4545
2.8108,84.6768
2.8252,84.7247
2.8396,84.8460
2.8541,85.0783
2.8685,85.0379
2.8829,85.1869
2.8973,85.0606
2.9117,85.3131
2.9261,86.1667
2.9405,86.7980
2.9550,86.7500
2.9694,86.9015
2.9838,87.2071
2.9982,87.2096
3.0126,87.7525
3.0270,88.3283
3.0414,88.4722
3.0559,88.2121
3.0703,87.8460
3.0847,88.0884
3.0991,88.6364
3.1135,89.4343
3.1279,89.0354
3.1423,89.1010
3.1568,88.8788
3.1712,88.5934
3.1856,88.5227
3.2000,88.5859
3.2144,88.3535
3.2288,88.9747
3.2432,89.2879
3.2577,89.0732
3.2721,88.9192
3.2865,88.8914
3.3009,89.0934
3.3153,89.1111
3.3297,89.3081
3.3441,89.6944
3.3586,90.1818
3.3730,90.4672
3.3874,90.5556
3.4018,90.5960
3.4162,91.0025
3.4306,91.1136
