X_px,Y_px,X_mm,Y_mm
3436.000,3869.000,49.528,55.769
3437.825,3868.315,49.554,55.759
3439.692,3867.616,49.581,55.749
3441.598,3866.905,49.609,55.739
3443.542,3866.180,49.637,55.729
3445.525,3865.444,49.665,55.718
3447.543,3864.697,49.694,55.707
3449.597,3863.938,49.724,55.696
3451.685,3863.170,49.754,55.685
3453.806,3862.391,49.785,55.674
3455.958,3861.603,49.816,55.663
3458.142,3860.807,49.847,55.651
3460.354,3860.002,49.879,55.640
3462.595,3859.190,49.911,55.628
3464.863,3858.371,49.944,55.616
3467.157,3857.545,49.977,55.604
3469.476,3856.713,50.010,55.592
3471.818,3855.876,50.044,55.580
3474.183,3855.033,50.078,55.568
3476.569,3854.187,50.113,55.556
3478.976,3853.337,50.147,55.544
3481.401,3852.483,50.182,55.531
3483.844,3851.627,50.218,55.519
3486.305,3850.769,50.253,55.507
3488.780,3849.909,50.289,55.494
3491.271,3849.048,50.325,55.482
3493.774,3848.186,50.361,55.469
3496.289,3847.324,50.397,55.457
3498.816,3846.463,50.433,55.444
3501.352,3845.603,50.470,55.432
3503.897,3844.745,50.507,55.420
3506.450,3843.889,50.543,55.407
3509.008,3843.035,50.580,55.395
3511.573,3842.185,50.617,55.383
3514.140,3841.339,50.654,55.371
3516.711,3840.497,50.691,55.358
3519.284,3839.660,50.728,55.346
3521.857,3838.828,50.765,55.334
3524.430,3838.002,50.803,55.323
3527.001,3837.183,50.840,55.311
3529.569,3836.371,50.877,55.299
3532.133,3835.567,50.914,55.287
3534.692,3834.771,50.950,55.276
3537.244,3833.983,50.987,55.265
3539.789,3833.205,51.024,55.253
3542.325,3832.437,51.061,55.242
3544.852,3831.678,51.097,55.231
3547.367,3830.931,51.133,55.221
3549.871,3830.196,51.169,55.210
3552.361,3829.472,51.205,55.200
3554.836,3828.761,51.241,55.189
3557.297,3828.062,51.276,55.179
3559.743,3827.376,51.312,55.169
3562.175,3826.702,51.347,55.160
3564.594,3826.040,51.382,55.150
3566.999,3825.390,51.416,55.141
3569.391,3824.751,51.451,55.132
3571.771,3824.123,51.485,55.122
3574.140,3823.505,51.519,55.114
3576.497,3822.898,51.553,55.105
3578.843,3822.302,51.587,55.096
3581.178,3821.714,51.621,55.088
3583.504,3821.137,51.654,55.079
3585.820,3820.568,51.687,55.071
3588.127,3820.009,51.721,55.063
3590.425,3819.458,51.754,55.055
3592.715,3818.915,51.787,55.047
3594.998,3818.381,51.820,55.040
3597.273,3817.854,51.853,55.032
3599.542,3817.334,51.885,55.025
3601.804,3816.822,51.918,55.017
3604.060,3816.317,51.950,55.010
3606.311,3815.817,51.983,55.003
3608.557,3815.325,52.015,54.996
3610.798,3814.838,52.048,54.989
3613.035,3814.356,52.080,54.982
3615.269,3813.881,52.112,54.975
3617.500,3813.410,52.144,54.968
3619.728,3812.943,52.176,54.961
3621.954,3812.482,52.208,54.955
3624.178,3812.024,52.240,54.948
3626.401,3811.570,52.272,54.942
3628.623,3811.120,52.304,54.935
3630.844,3810.673,52.336,54.929
3633.066,3810.229,52.368,54.922
3635.289,3809.787,52.401,54.916
3637.512,3809.348,52.433,54.909
3639.737,3808.911,52.465,54.903
3641.963,3808.475,52.497,54.897
3644.193,3808.041,52.529,54.891
3646.425,3807.608,52.561,54.884
3648.660,3807.177,52.593,54.878
3650.899,3806.745,52.626,54.872
3653.142,3806.314,52.658,54.866
3655.390,3805.883,52.690,54.860
3657.643,3805.451,52.723,54.853
3659.902,3805.019,52.755,54.847
3662.167,3804.586,52.788,54.841
3664.437,3804.152,52.821,54.835
3666.712,3803.718,52.853,54.828
3668.992,3803.283,52.886,54.822
3671.276,3802.849,52.919,54.816
3673.564,3802.416,52.952,54.810
3675.855,3801.983,52.985,54.803
3678.148,3801.551,53.018,54.797
3680.444,3801.120,53.051,54.791
3682.741,3800.692,53.085,54.785
3685.040,3800.265,53.118,54.779
3687.339,3799.840,53.151,54.772
3689.638,3799.418,53.184,54.766
3691.938,3798.999,53.217,54.760
3694.236,3798.582,53.250,54.754
3696.533,3798.169,53.283,54.748
3698.828,3797.760,53.316,54.742
3701.121,3797.354,53.349,54.737
3703.411,3796.954,53.382,54.731
3705.698,3796.557,53.415,54.725
3707.982,3796.165,53.448,54.719
3710.261,3795.779,53.481,54.714
3712.535,3795.397,53.514,54.708
3714.804,3795.022,53.547,54.703
3717.067,3794.653,53.579,54.698
3719.324,3794.289,53.612,54.692
3721.575,3793.933,53.644,54.687
3723.818,3793.583,53.677,54.682
3726.053,3793.240,53.709,54.677
3728.281,3792.905,53.741,54.672
3730.500,3792.577,53.773,54.668
3732.709,3792.258,53.805,54.663
3734.909,3791.947,53.836,54.659
3737.099,3791.644,53.868,54.654
3739.278,3791.351,53.899,54.650
3741.446,3791.066,53.931,54.646
3743.602,3790.791,53.962,54.642
3745.746,3790.526,53.993,54.638
3747.878,3790.271,54.023,54.635
3749.996,3790.026,54.054,54.631
3752.101,3789.791,54.084,54.628
3754.192,3789.568,54.114,54.624
3756.268,3789.356,54.144,54.621
3758.330,3789.155,54.174,54.618
3760.375,3788.966,54.204,54.616
3762.405,3788.789,54.233,54.613
3764.420,3788.624,54.262,54.611
3766.421,3788.469,54.291,54.609
3768.409,3788.326,54.319,54.606
3770.385,3788.193,54.348,54.605
3772.350,3788.070,54.376,54.603
3774.304,3787.956,54.404,54.601
3776.249,3787.851,54.432,54.600
3778.185,3787.756,54.460,54.598
3780.114,3787.668,54.488,54.597
3782.036,3787.589,54.516,54.596
3783.952,3787.517,54.543,54.595
3785.863,3787.453,54.571,54.594
3787.771,3787.395,54.598,54.593
3789.675,3787.344,54.626,54.592
3791.577,3787.298,54.653,54.592
3793.478,3787.258,54.681,54.591
3795.378,3787.224,54.708,54.591
3797.280,3787.194,54.736,54.590
3799.182,3787.168,54.763,54.590
3801.087,3787.147,54.790,54.589
3802.996,3787.129,54.818,54.589
3804.908,3787.114,54.845,54.589
3806.826,3787.103,54.873,54.589
3808.750,3787.093,54.901,54.589
3810.680,3787.086,54.929,54.589
3812.619,3787.080,54.957,54.589
3814.566,3787.075,54.985,54.588
3816.523,3787.072,55.013,54.588
3818.491,3787.069,55.041,54.588
3820.470,3787.065,55.070,54.588
3822.461,3787.062,55.099,54.588
3824.466,3787.057,55.127,54.588
3826.485,3787.052,55.157,54.588
3828.519,3787.045,55.186,54.588
3830.569,3787.036,55.215,54.588
3832.636,3787.024,55.245,54.588
3834.722,3787.010,55.275,54.588
3836.825,3786.993,55.306,54.587
3838.948,3786.972,55.336,54.587
3841.089,3786.949,55.367,54.587
3843.246,3786.923,55.398,54.586
3845.420,3786.894,55.429,54.586
3847.609,3786.863,55.461,54.585
3849.812,3786.831,55.493,54.585
3852.029,3786.796,55.525,54.584
3854.258,3786.761,55.557,54.584
3856.498,3786.724,55.589,54.583
3858.749,3786.687,55.622,54.583
3861.009,3786.649,55.654,54.582
3863.277,3786.612,55.687,54.582
3865.554,3786.574,55.720,54.581
3867.836,3786.537,55.753,54.581
3870.125,3786.500,55.786,54.580
3872.418,3786.465,55.819,54.580
3874.716,3786.431,55.852,54.579
3877.015,3786.398,55.885,54.579
3879.317,3786.368,55.918,54.578
3881.620,3786.339,55.951,54.578
3883.923,3786.313,55.984,54.577
3886.225,3786.290,56.018,54.577
3888.525,3786.269,56.051,54.577
3890.822,3786.252,56.084,54.577
3893.115,3786.238,56.117,54.576
3895.404,3786.229,56.150,54.576
3897.687,3786.223,56.183,54.576
