X,Y
47.966,57.046
48.009,57.041
48.051,57.037
48.093,57.032
48.135,57.028
48.177,57.024
48.218,57.019
48.259,57.015
48.300,57.011
48.341,57.008
48.382,57.004
48.422,57.000
48.462,56.997
48.502,56.993
48.542,56.990
48.582,56.987
48.622,56.984
48.662,56.981
48.702,56.978
48.742,56.976
48.781,56.974
48.821,56.971
48.861,56.969
48.902,56.967
48.942,56.966
48.982,56.964
49.023,56.963
49.064,56.962
49.105,56.961
49.146,56.960
49.187,56.959
49.229,56.959
49.271,56.959
49.313,56.958
49.356,56.959
49.398,56.959
49.441,56.959
49.484,56.960
49.527,56.961
49.570,56.961
49.613,56.963
49.656,56.964
49.700,56.965
49.743,56.966
49.787,56.968
49.831,56.970
49.874,56.972
49.918,56.973
49.962,56.976
50.006,56.978
50.050,56.980
50.094,56.982
50.137,56.985
50.181,56.987
50.225,56.990
50.268,56.993
50.312,56.995
50.355,56.998
50.399,57.001
50.442,57.004
50.485,57.007
50.528,57.010
50.571,57.013
50.614,57.017
50.657,57.020
50.699,57.023
50.742,57.026
50.784,57.030
50.826,57.033
50.868,57.037
50.910,57.040
50.951,57.044
50.992,57.047
51.034,57.051
51.075,57.054
51.115,57.058
51.156,57.062
51.196,57.065
51.237,57.069
51.277,57.072
51.316,57.076
51.356,57.080
51.395,57.084
51.434,57.087
51.473,57.091
51.512,57.095
51.550,57.098
51.588,57.102
51.626,57.106
51.664,57.109
51.701,57.113
51.738,57.117
51.775,57.120
51.812,57.124
51.849,57.128
51.886,57.132
51.922,57.136
51.959,57.140
51.995,57.145
52.032,57.149
52.068,57.154
52.104,57.159
52.141,57.164
52.178,57.170
52.214,57.175
52.251,57.181
52.288,57.188
52.325,57.194
52.363,57.201
52.400,57.208
52.438,57.216
52.476,57.224
52.514,57.232
52.553,57.241
52.592,57.250
52.631,57.260
52.671,57.270
52.711,57.280
52.751,57.291
52.791,57.302
52.832,57.313
52.873,57.325
52.913,57.337
52.954,57.349
52.995,57.361
53.036,57.374
53.076,57.386
53.117,57.399
53.158,57.412
53.198,57.425
53.239,57.438
53.279,57.450
53.318,57.463
53.358,57.476
53.397,57.489
53.436,57.502
53.475,57.514
53.513,57.527
53.550,57.539
53.588,57.551
53.624,57.563
53.660,57.575
53.696,57.586
53.731,57.597
53.765,57.608
53.799,57.619
53.832,57.629
53.864,57.639
53.896,57.649
53.928,57.659
53.959,57.668
53.990,57.678
54.020,57.688
54.050,57.697
54.080,57.707
54.109,57.717
54.138,57.726
54.167,57.736
54.196,57.746
54.224,57.757
54.252,57.767
54.280,57.778
54.308,57.789
54.336,57.800
54.364,57.812
54.391,57.824
54.419,57.836
54.447,57.849
54.474,57.862
54.501,57.875
54.528,57.889
54.555,57.903
54.582,57.918
54.608,57.933
54.633,57.948
54.659,57.963
54.684,57.979
54.708,57.995
54.731,58.011
54.755,58.028
54.777,58.045
54.799,58.062
54.819,58.079
54.839,58.097
54.859,58.115
54.877,58.133
54.894,58.151
54.911,58.170
54.927,58.189
54.941,58.208
54.956,58.228
54.969,58.248
54.982,58.269
54.994,58.291
55.006,58.313
55.017,58.336
55.028,58.360
55.038,58.384
55.048,58.410
55.058,58.437
55.068,58.464
55.077,58.493
55.086,58.523
55.095,58.554
55.105,58.587
55.114,58.621
55.123,58.656
55.132,58.692
55.140,58.729
55.149,58.767
55.158,58.806
55.166,58.846
55.175,58.887
55.183,58.929
55.191,58.971
55.199,59.014
55.207,59.057
55.215,59.101
55.222,59.146
55.229,59.190
55.236,59.235
55.243,59.281
55.249,59.326
55.255,59.372
55.261,59.417
55.267,59.463
55.272,59.508
55.277,59.553
55.281,59.598
55.286,59.643
55.289,59.687
55.293,59.731
55.296,59.774
55.298,59.817
55.301,59.859
55.302,59.901
55.304,59.942
55.305,59.982
55.305,60.022
55.306,60.062
55.305,60.101
55.305,60.139
55.304,60.177
55.303,60.215
55.302,60.252
55.300,60.289
55.298,60.325
55.296,60.361
55.294,60.397
55.291,60.433
55.288,60.469
55.285,60.504
55.282,60.539
55.279,60.574
55.275,60.608
55.272,60.643
55.268,60.678
55.264,60.712
55.260,60.747
55.256,60.781
55.252,60.816
55.248,60.850
55.244,60.885
55.239,60.920
55.235,60.954
55.230,60.989
55.225,61.024
55.220,61.059
55.215,61.093
55.209,61.128
55.203,61.163
55.197,61.198
55.191,61.233
55.184,61.268
55.177,61.304
55.170,61.339
55.162,61.374
55.154,61.410
55.146,61.445
55.137,61.481
55.127,61.516
55.118,61.552
55.107,61.588
55.096,61.623
55.085,61.659
55.073,61.695
55.061,61.731
55.048,61.767
55.035,61.804
55.021,61.840
55.006,61.876
54.992,61.913
54.976,61.949
54.961,61.986
54.945,62.022
54.929,62.059
54.912,62.096
54.895,62.132
54.878,62.169
54.860,62.206
54.842,62.243
54.824,62.279
54.806,62.316
54.787,62.353
54.768,62.390
54.749,62.427
54.730,62.463
54.711,62.500
54.691,62.537
54.671,62.574
54.652,62.610
54.632,62.647
54.612,62.684
54.592,62.720
54.572,62.757
54.552,62.794
54.532,62.830
54.512,62.866
54.492,62.903
54.471,62.939
54.451,62.975
54.430,63.012
54.410,63.048
54.389,63.084
54.368,63.120
54.347,63.155
54.326,63.191
54.304,63.227
54.283,63.262
54.261,63.298
54.240,63.333
54.218,63.368
54.196,63.403
54.173,63.438
54.151,63.473
54.128,63.507
54.105,63.542
54.082,63.576
54.059,63.610
54.035,63.644
54.011,63.678
53.987,63.712
53.963,63.745
53.939,63.778
53.914,63.812
53.889,63.845
53.864,63.877
53.838,63.910
53.812,63.942
53.787,63.974
53.760,64.006
53.734,64.038
53.708,64.069
53.681,64.100
53.654,64.131
53.627,64.162
53.599,64.192
53.572,64.223
53.544,64.252
53.516,64.282
53.488,64.311
53.460,64.340
53.431,64.369
53.403,64.398
53.374,64.426
53.345,64.454
53.316,64.481
53.287,64.508
53.257,64.535
53.228,64.562
53.198,64.588
53.169,64.614
53.139,64.639
53.109,64.665
53.078,64.689
53.048,64.714
53.018,64.738
52.987,64.762
52.957,64.786
52.926,64.809
52.896,64.832
52.865,64.855
52.834,64.878
52.803,64.900
52.772,64.922
52.741,64.944
52.710,64.966
52.679,64.987
52.648,65.008
52.617,65.029
52.586,65.050
52.555,65.071
52.524,65.091
52.493,65.111
52.462,65.132
52.431,65.151
52.400,65.171
52.369,65.191
52.338,65.210
52.307,65.230
52.276,65.249
52.245,65.268
52.214,65.286
52.183,65.305
52.153,65.323
52.122,65.342
52.091,65.360
52.060,65.377
52.029,65.395
51.999,65.412
51.968,65.429
51.937,65.446
51.906,65.463
51.876,65.479
