X,Y
112.771,50.594
112.811,50.588
112.851,50.582
112.890,50.576
112.929,50.570
112.967,50.564
113.005,50.558
113.043,50.552
113.080,50.546
113.117,50.540
113.154,50.534
113.191,50.529
113.228,50.523
113.265,50.517
113.301,50.512
113.337,50.506
113.374,50.500
113.410,50.495
113.447,50.490
113.483,50.484
113.520,50.479
113.557,50.473
113.594,50.468
113.631,50.463
113.669,50.458
113.706,50.453
113.744,50.448
113.783,50.443
113.821,50.438
113.861,50.433
113.900,50.428
113.940,50.423
113.980,50.418
114.021,50.413
114.061,50.409
114.103,50.404
114.144,50.400
114.186,50.395
114.227,50.391
114.270,50.387
114.312,50.382
114.354,50.378
114.397,50.374
114.440,50.370
114.483,50.367
114.526,50.363
114.569,50.359
114.612,50.356
114.656,50.353
114.699,50.349
114.743,50.346
114.786,50.343
114.830,50.340
114.873,50.337
114.916,50.335
114.960,50.332
115.003,50.330
115.046,50.328
115.089,50.326
115.132,50.324
115.175,50.322
115.218,50.321
115.260,50.319
115.302,50.318
115.345,50.317
115.387,50.316
115.429,50.315
115.471,50.314
115.512,50.313
115.554,50.313
115.595,50.312
115.637,50.312
115.678,50.311
115.719,50.311
115.760,50.311
115.801,50.310
115.842,50.310
115.882,50.310
115.923,50.310
115.963,50.310
116.004,50.310
116.044,50.310
116.084,50.310
116.124,50.310
116.164,50.310
116.204,50.310
116.244,50.310
116.284,50.309
116.324,50.309
116.363,50.309
116.403,50.309
116.442,50.308
116.482,50.308
116.521,50.308
116.561,50.307
116.600,50.307
116.639,50.306
116.679,50.306
116.718,50.306
116.757,50.305
116.796,50.305
116.835,50.305
116.875,50.304
116.914,50.304
116.953,50.304
116.993,50.304
117.032,50.305
117.071,50.305
117.111,50.305
117.150,50.306
117.190,50.307
117.229,50.308
117.269,50.309
117.309,50.310
117.349,50.312
117.389,50.314
117.429,50.316
117.469,50.318
117.509,50.320
117.550,50.323
117.590,50.326
117.631,50.330
117.672,50.333
117.713,50.337
117.754,50.341
117.795,50.345
117.836,50.350
117.877,50.355
117.918,50.360
117.960,50.365
118.001,50.370
118.043,50.376
118.084,50.381
118.126,50.387
118.167,50.393
118.209,50.399
118.251,50.405
118.292,50.412
118.334,50.418
118.376,50.425
118.417,50.431
118.459,50.438
118.500,50.445
118.542,50.452
118.583,50.459
118.625,50.465
118.666,50.472
118.707,50.479
118.749,50.486
118.790,50.493
118.831,50.500
118.872,50.507
118.913,50.514
118.954,50.521
118.994,50.528
119.035,50.535
119.075,50.542
119.116,50.549
119.156,50.556
119.197,50.562
119.237,50.569
119.277,50.576
119.317,50.583
119.357,50.590
119.397,50.597
119.437,50.604
119.477,50.611
119.516,50.618
119.556,50.625
119.595,50.632
119.635,50.639
119.674,50.646
119.714,50.653
119.753,50.660
119.792,50.667
119.832,50.674
119.871,50.681
119.910,50.688
119.949,50.696
119.988,50.703
120.027,50.710
120.066,50.718
120.105,50.725
120.144,50.732
120.183,50.740
120.221,50.747
120.260,50.755
120.299,50.763
120.338,50.770
120.376,50.778
120.415,50.786
120.454,50.793
120.493,50.801
120.531,50.809
120.570,50.817
120.609,50.824
120.648,50.832
120.686,50.840
120.725,50.848
120.764,50.856
120.803,50.864
120.842,50.872
120.881,50.880
120.920,50.888
120.959,50.896
120.998,50.904
121.037,50.912
121.077,50.920
121.116,50.928
121.155,50.936
121.195,50.944
121.235,50.952
121.274,50.960
121.314,50.968
121.353,50.976
121.393,50.984
121.432,50.992
121.471,51.000
121.510,51.009
121.549,51.017
121.588,51.025
121.626,51.033
121.664,51.041
121.702,51.049
121.739,51.058
121.776,51.066
121.813,51.074
121.849,51.082
121.885,51.091
121.920,51.099
121.954,51.107
121.988,51.116
122.022,51.124
122.055,51.133
122.087,51.141
122.118,51.150
122.149,51.158
122.179,51.167
122.208,51.175
122.236,51.184
122.264,51.193
122.290,51.202
122.316,51.212
122.341,51.222
122.365,51.232
122.389,51.243
122.411,51.254
122.432,51.267
122.453,51.280
122.472,51.294
122.491,51.308
122.508,51.324
122.525,51.341
122.540,51.359
122.555,51.378
122.569,51.398
122.581,51.420
122.592,51.443
122.603,51.468
122.612,51.493
122.621,51.520
122.629,51.548
122.636,51.577
122.642,51.608
122.648,51.639
122.653,51.671
122.657,51.705
122.661,51.739
122.665,51.774
122.668,51.810
122.670,51.846
122.673,51.884
122.675,51.922
122.676,51.960
122.678,51.999
122.679,52.039
122.681,52.080
122.682,52.120
122.684,52.161
122.685,52.203
122.687,52.245
122.688,52.287
122.690,52.329
122.692,52.372
122.695,52.415
122.697,52.458
122.700,52.501
122.703,52.544
122.706,52.588
122.709,52.631
122.712,52.675
122.715,52.719
122.718,52.763
122.721,52.807
122.724,52.851
122.727,52.895
122.730,52.939
122.732,52.983
122.735,53.027
122.738,53.071
122.740,53.115
122.742,53.159
122.744,53.203
122.746,53.247
122.748,53.291
122.749,53.334
122.750,53.378
122.750,53.421
122.751,53.465
122.751,53.508
122.750,53.551
122.749,53.594
122.748,53.636
